Number,Product Number,Description,Manufacturer,Price,Count,Total
001,6-12014,"Straight Track (10"")",Lionel,$4.79,15,$71.85
002,6-12015,Curved Track 036 (45° Section),Lionel,$4.79,25,$119.75
003,6-12018*,036 Manual Right Switch 45 degrees (with 1/4 Curve),Lionel,$44.99,2,$89.98
004,6-12019,"90 Degree Crossover (6"")",Lionel,$22.99,1,$22.99
005,6-12022,Half Curved Track 036 (22.5° Section),Lionel,$4.59,1,$4.59
006,6-12024,"Half Straight Track (5"")",Lionel,$4.59,6,$27.54
007,6-12025,"Straight Track (4 1/2"")",Lionel,$4.59,11,$50.49
008,6-12026,"Straight track (1 3/4"")",Lionel,$4.59,10,$45.90
009,6-12035,"Lighted Bumper (5"") (2 per Package)",Lionel,$29.99,5,$149.95
010,6-12045*,"036 Remote Left Switch w/ 1/4 Curve attached (10"" Straight, 45º)",Lionel,$91.99,4,$367.96
011,6-12046*,"036 Remote Right Switch w/ 1/4 Curve attached (10"" Straight, 45º)",Lionel,$91.99,5,$459.95
012,6-12048,"072 Remote Left Switch with Extensions (15 5/8"" Straight)",Lionel,$103.99,1,$103.99
013,6-12049,"072 Remote Right Switch with Extensions (15 5/8"" Straight)",Lionel,$103.99,1,$103.99
014,6-12050,"22.5 Degree Crossover (17"" with Extensions Attached)",Lionel,$45.99,1,$45.99
015,6-12073,"Straight track (1 3/8"")",Lionel,$4.59,15,$68.85
